name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
رانديز - Randy's,Other,A'Ali,,26.153715599999998,50.508776999999995,,,4.8,0,,google_places
Sangam Restaurant - Bahrain,Other,A'Ali,,26.2326242,50.539994300000004,,,4.8,0,,google_places
CLAW BBQ Bahrain,Other,A'Ali,,26.223662599999997,50.609353,,,4.9,0,,google_places
AL Jalboot Restaurant,Other,A'Ali,,26.159327899999997,50.5194537,,,4.2,0,,google_places
Zonful Restaurant,Other,A'Ali,,26.154567,50.519044400000006,,,4.3,0,,google_places
Danial Restaurant,Other,A'Ali,,26.159373199999997,50.5207189,,,3.7,0,,google_places
Al Naeem Al Aali Restaurant مطعم النعيم العالي,Other,A'Ali,,26.158970999999998,50.520913099999994,,,4.2,0,,google_places
House of Balaleet,Other,A'Ali,,26.1562888,50.5127944,,,4.0,0,,google_places
Sliders,Other,A'Ali,,26.1667643,50.5419108,,,4.8,0,,google_places
Café Lilou,Other,A'Ali,,26.2331713,50.540926899999995,,,4.4,0,,google_places
Ghancha غنجة,Other,A'Ali,,26.233926399999998,50.5399743,,,4.2,0,,google_places
Mei Ling,Other,A'Ali,,26.211463400000003,50.593162,,,4.7,0,,google_places
Fabio's Bahrain,Other,A'Ali,,26.165270099999997,50.5415521,,,4.4,0,,google_places
M by Mirai Restaurant,Other,A'Ali,,26.2328175,50.5408751,,,4.7,0,,google_places
Bu Ali Spice Restaurant,Other,A'Ali,,26.2101413,50.5753141,,,3.8,0,,google_places
Empire Pizza,Other,A'Ali,,26.151873000000002,50.5328568,,,4.6,0,,google_places
BURJ AL NOOR RESTAURANT,Other,A'Ali,,26.1761414,50.526578799999996,,,3.8,0,,google_places
Avli by tashas,Other,A'Ali,,26.2393526,50.5737957,,,4.6,0,,google_places
AGORA Restaurant,Other,A'Ali,,26.1341641,50.5487095,,,4.7,0,,google_places
Buri Tunnel Restaurant,Other,A'Ali,,26.153613099999998,50.509579099999996,,,4.4,0,,google_places
Steak Chef Restaurant,Other,Abu Dhabi,,24.4657716,54.3313864,,,4.8,0,,google_places
Zuma Abu Dhabi,Other,Abu Dhabi,,24.500519,54.387861099999995,,,4.4,0,,google_places
West Bay Lounge Abu Dhabi Corniche,Other,Abu Dhabi,,24.4644962,54.325106399999996,,,4.3,0,,google_places
Swiss Butter - Novotel Al Bustan,Other,Abu Dhabi,,24.429409500000002,54.429126499999995,,,4.8,0,,google_places
Punjab Grill,Other,Abu Dhabi,,24.411256299999998,54.4852217,,,4.6,0,,google_places
Hakkasan Abu Dhabi,Other,Abu Dhabi,,24.462711,54.318627799999994,,,4.5,0,,google_places
